file,character,book
sense_and_sensibility.txt,Jennings,Sense and Sensibility
sense_and_sensibility.txt,Dashwood,Sense and Sensibility
sense_and_sensibility.txt,Willoughby,Sense and Sensibility
sense_and_sensibility.txt,Fanny,Sense and Sensibility
sense_and_sensibility.txt,Lucy,Sense and Sensibility
sense_and_sensibility.txt,Marianne,Sense and Sensibility
sense_and_sensibility.txt,Ferrars,Sense and Sensibility
sense_and_sensibility.txt,Elinor,Sense and Sensibility
sense_and_sensibility.txt,Robert,Sense and Sensibility
sense_and_sensibility.txt,Barton,Sense and Sensibility
sense_and_sensibility.txt,Dashwoods,Sense and Sensibility
sense_and_sensibility.txt,Palmer,Sense and Sensibility
sense_and_sensibility.txt,Brandon,Sense and Sensibility
sense_and_sensibility.txt,John,Sense and Sensibility
sense_and_sensibility.txt,Smith,Sense and Sensibility
sense_and_sensibility.txt,Margaret,Sense and Sensibility
sense_and_sensibility.txt,Steele,Sense and Sensibility
sense_and_sensibility.txt,Lady Middleton,Sense and Sensibility
sense_and_sensibility.txt,Edward,Sense and Sensibility
charlie_and_the_chocolate_factory.txt,Grandpa Joe,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Grandma Josephine,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mrs Teavee,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Grandpa George,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Veruca Salt,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Willy Wonka,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Charlie,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Augustus Gloop,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mr Teavee,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mrs Beauregarde,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mrs Salt,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mr Wonka,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mr Bucket,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Wonka,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Grandma Georgina,Charlie and the Chocolate Factory
charlie_and_the_chocolate_factory.txt,Mrs Gloop,Charlie and the Chocolate Factory
